you
the
i
me
to
and
it
a
my
in
love
your
don't
is
of
that
on
just
be
for
baby
all
so
no
know
you're
i'm
do
get
got
what
girl
she
are
with
yeah
bad
make
it's
we
like
can
but
if
really
about
can't
when
let
this
oh
wanna
too
he
stop
world
take
now
there
give
her
time
go
see
come
keep
how
will
why
one
way
ain't
they
life
have
right
chorus
away
not
feel
around
gonna
up
say
down
she's
was
out
tell
day
want
hold
hee
'cause
never
night
alone
i'll
then
am
who
us
we're
michael
heart
mine
at
need
man
back
there's
every
from
here
dah
had
hand
things
enough
leave
verse
cry
change
or
that's
na
much
won't
would
did
said
look
gone
as
better
hoo
you'll
always
ooh
matter
remember
could
where
by
care
because
doesn't
place
i've
through
stay
good
anything
'til
soul
our
off
some
forever
eyes
still
thought
though
should
only
ok
live
gotta
don’t
annie
beat
da
think
find
been
ever
again
free
thing
dance
came
told
workin'
together
mind
wants
tonight
over
refrain
has
more
scream
before
him
does
money
people
fly
his
cold
monster
call
inside
hey
doin'
even
hear
force
floor
nothing
turn
head
face
into
someone
lovin'
try
touch
high
we'll
ya
nobody
going
you've
long
shake
we've
show
dirty
lie
everything
everybody
fame
cause
almost
he's
lost
believe
friend
dreams
loving
lonely
today
little
whatever
left
may
hurt
god
lady
well
makes
gave
smile
yourself
living
comes
name
rock
close
je
hollywood
pain
die
happy
answer
them
each
words
dada
it’s
read
blood
shout
boy
seem
goin'
break
blow
chance
true
home
de
rocked
scary
far
another
help
brother
must
young
those
who's
tu
diana
an
i'd
being
children
wrong
wherever
faith
sky
child
says
something
he’s
pressurin'
control
business
talk
farewell
price
somethin'
startin'
start
understand
fall
soon
sweet
feeling
times
please
la
y
truth
ah
days
kiss
babe
took
were
maria
yes
morning
sheldon
dom
moon
aaow
stuff
scared
sing
whole
feet
found
speed
tired
dead
put
both
maybe
i’m
mercy
dangerous
demon
real
t
mother
wall
lay
alright
glow
higher
part
dark
own
heaven
bridge
que
jam
trust
under
trip
groove
hot
doo
once
deep
news
while
hard
without
after
their
abortion
sell
damn
keeping
forget
thriller
lover
light
strong
fade
sun
uh
somebody's
looking
two
wings
black
door
goes
papers
devil
pray
nah
ticket
seen
met
sit
mirror
woo
music
other
p
they're
friends
ran
fight
round
talkin'
wind
song
used
mi
amor
messin’
susie
ooo
father
taking
screen
walk
promise
might
wait
across
2nd
1st
such
knew
euphoria
message
done
lift
stand
bring
warm
ne
they've
i’d
can’t
monkey
pull
human
cannot
same
wouldn't
body
ad
seems
afraid
didn't
raven
knows
wanted
coming
sunshine
shameone
todo
daa
tschada
happens
who'd
morphine
aahh
trippin'
jackson
somebody
touchin'
takin'
liberian
knock
game
breaking
ma
hate
low
lies
desire
number
set
johnny
doggin'
side
tears
fortune
hair
everyday
word
nothin'
fell
arms
honey
share
kissin'
holdin'
there’s
demerol
magazine
tv
siedah
tomorrow
crying
paul
jean
billie
g'on
write
wrote
3
2
else
saw
myself
darlin'
goodbye
alive
fear
last
apart
guess
burn
fool
air
made
darling
gets
pretty
singing
mean
any
than
pas
veux
eres
animal
family
factual
lord
brought
dying
woman
kill
line
son
doom
ghost
eat
vegetable
middle
3rd
fire
move
heal
lib
1
rain
reason
shoulder
dream
watch
making
hit
judge
yea
earth
summer
its
beautiful
climb
ground
loves
hope
oooh
many
wishing
speechless
rarest
you’re
that’s
mary
holy
oooooooooh
aaaaaaaaah
white
struck
sleeping
first
changed
chika
felt
stranger
'em
dare
one's
dawn
mouth
thunder
stuck
makin'
crazy
livin'
town
ask
letter
power
years
star
strange
nature
sad
swear
carousel
pay
sure
wish
end
turned
behind
great
tried
wonder
nous
fin
toi
te
dum
cares
ways
voice
showed
rap
save
doggone
perfect
called
knife
needs
hide
room
sunlight
feelin'
let's
boom
bit
midnight
brighter
land
